dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
rK6Q1BV8tdd,202401,ncgkwcQrfmc,subJjGY0UcE,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,N78akNFqLex,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,tpKwyj8il3w,fpkkdSpN6kR,3
rK6Q1BV8tdd,202401,ncgkwcQrfmc,onwJ6bulsyi,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,Mwqc3GO1kId,fpkkdSpN6kR,2
rK6Q1BV8tdd,202401,ncgkwcQrfmc,pUXn4laGtJe,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,SmLUO99wdfb,fpkkdSpN6kR,3
rK6Q1BV8tdd,202401,ncgkwcQrfmc,udSjk1sKgO5,fpkkdSpN6kR,6
rK6Q1BV8tdd,202401,ncgkwcQrfmc,IzV4BuohS90,fpkkdSpN6kR,3
rK6Q1BV8tdd,202401,ncgkwcQrfmc,US2dWooI6pT,fpkkdSpN6kR,2
rK6Q1BV8tdd,202401,ncgkwcQrfmc,EMovAqLcbGq,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,pdPUNjzab6h,fpkkdSpN6kR,8
rK6Q1BV8tdd,202401,ncgkwcQrfmc,GnlieRaxUWw,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,FZZZIfer5tA,fpkkdSpN6kR,3
rK6Q1BV8tdd,202401,ncgkwcQrfmc,dwskguR0DV8,fpkkdSpN6kR,1
rK6Q1BV8tdd,202401,ncgkwcQrfmc,RQXs6B8Td4v,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,GliuFJTAsAp,fpkkdSpN6kR,3
rK6Q1BV8tdd,202401,ncgkwcQrfmc,qbzDBEJWFMB,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,RT7QsVY15yL,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,W909S6WDrZ8,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,ETwXuMGk1iE,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,nJlZC7BrpYs,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,Il7UBf5AxcH,fpkkdSpN6kR,0
rK6Q1BV8tdd,202401,ncgkwcQrfmc,TSt8KAsSu0I,fpkkdSpN6kR,0
Dj5cRBdnha3,202401,ncgkwcQrfmc,ROA8MC4J8mU,fpkkdSpN6kR,102
Dj5cRBdnha3,202401,ncgkwcQrfmc,rre3xx77UJ0,fpkkdSpN6kR,36
Dj5cRBdnha3,202401,ncgkwcQrfmc,tqzCHAbgHlx,fpkkdSpN6kR,145
Dj5cRBdnha3,202401,ncgkwcQrfmc,af5Pl7J1Wdr,fpkkdSpN6kR,4
tMJHXpTC8lJ,202401,ncgkwcQrfmc,g10r90Dfqno,fpkkdSpN6kR,0
tMJHXpTC8lJ,202401,ncgkwcQrfmc,Qmd2frB3e8F,fpkkdSpN6kR,0
tMJHXpTC8lJ,202401,ncgkwcQrfmc,TT9hQ7SaHea,fpkkdSpN6kR,2
tMJHXpTC8lJ,202401,ncgkwcQrfmc,nMsMRcdsXmy,fpkkdSpN6kR,0
tMJHXpTC8lJ,202401,ncgkwcQrfmc,BqGKadWCFhx,fpkkdSpN6kR,8
tMJHXpTC8lJ,202401,ncgkwcQrfmc,wcvVlUrzbYG,fpkkdSpN6kR,3
tMJHXpTC8lJ,202401,ncgkwcQrfmc,subJjGY0UcE,fpkkdSpN6kR,10
tMJHXpTC8lJ,202401,ncgkwcQrfmc,N78akNFqLex,fpkkdSpN6kR,5
tMJHXpTC8lJ,202401,ncgkwcQrfmc,tpKwyj8il3w,fpkkdSpN6kR,20
tMJHXpTC8lJ,202401,ncgkwcQrfmc,onwJ6bulsyi,fpkkdSpN6kR,9
tMJHXpTC8lJ,202401,ncgkwcQrfmc,Mwqc3GO1kId,fpkkdSpN6kR,72
tMJHXpTC8lJ,202401,ncgkwcQrfmc,pUXn4laGtJe,fpkkdSpN6kR,36
tMJHXpTC8lJ,202401,ncgkwcQrfmc,SmLUO99wdfb,fpkkdSpN6kR,60
tMJHXpTC8lJ,202401,ncgkwcQrfmc,udSjk1sKgO5,fpkkdSpN6kR,41
tMJHXpTC8lJ,202401,ncgkwcQrfmc,IzV4BuohS90,fpkkdSpN6kR,90
tMJHXpTC8lJ,202401,ncgkwcQrfmc,US2dWooI6pT,fpkkdSpN6kR,60
tMJHXpTC8lJ,202401,ncgkwcQrfmc,EMovAqLcbGq,fpkkdSpN6kR,150
tMJHXpTC8lJ,202401,ncgkwcQrfmc,pdPUNjzab6h,fpkkdSpN6kR,69
tMJHXpTC8lJ,202401,ncgkwcQrfmc,GnlieRaxUWw,fpkkdSpN6kR,130
tMJHXpTC8lJ,202401,ncgkwcQrfmc,FZZZIfer5tA,fpkkdSpN6kR,77
tMJHXpTC8lJ,202401,ncgkwcQrfmc,dwskguR0DV8,fpkkdSpN6kR,7
tMJHXpTC8lJ,202401,ncgkwcQrfmc,RQXs6B8Td4v,fpkkdSpN6kR,0
tMJHXpTC8lJ,202401,ncgkwcQrfmc,GliuFJTAsAp,fpkkdSpN6kR,29
tMJHXpTC8lJ,202401,ncgkwcQrfmc,qbzDBEJWFMB,fpkkdSpN6kR,37
tMJHXpTC8lJ,202401,ncgkwcQrfmc,RT7QsVY15yL,fpkkdSpN6kR,46
tMJHXpTC8lJ,202401,ncgkwcQrfmc,W909S6WDrZ8,fpkkdSpN6kR,30
tMJHXpTC8lJ,202401,ncgkwcQrfmc,ETwXuMGk1iE,fpkkdSpN6kR,30
tMJHXpTC8lJ,202401,ncgkwcQrfmc,nJlZC7BrpYs,fpkkdSpN6kR,0
tMJHXpTC8lJ,202401,ncgkwcQrfmc,Il7UBf5AxcH,fpkkdSpN6kR,70
Dg1bwchgXcv,202401,ncgkwcQrfmc,oZ7oxWxyZx0,fpkkdSpN6kR,11
Dg1bwchgXcv,202401,ncgkwcQrfmc,mgelDU8xoWc,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,bbMjQb1XnMN,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,IvIMfo7Gu8K,fpkkdSpN6kR,135
Dg1bwchgXcv,202401,ncgkwcQrfmc,C0gOMOHkr4M,fpkkdSpN6kR,255
Dg1bwchgXcv,202401,ncgkwcQrfmc,mKRpyEAXEX5,fpkkdSpN6kR,1
